rating,review
4,"<p property=""reviewBody"" id=""review_191849963"">
The glass tower, with a 360 degree view of Curitiba and its environs, is a good place from which to start exploring the city. Nice view of nearby Parque Baringue.
</p>"
4,"<p property=""reviewBody"" id=""review_265954865"">
Iconic landmark of Porto Alegre with a great view to Guaíba river.A historic building with a museum inside it, quite empty, by the way. I think the structure should be better used. Worth to know, though.
</p>"
2,"<p property=""reviewBody"" id=""review_262779211"">
Building is more interesting from outside to take a photograph then inside, where it is badly lit and half deserted. Very friendly gentleman at information desk is very willing to help, but doesn't speak any English. Spend your time walking around. There are a lot of food vendors and music on Sunday.
</p>"
5,"<p property=""reviewBody"" id=""review_268048222"">
If you come to Porto Alegre it is a must go place. The building is quite important in the city landscape and the view of the lake is fantastic. Also here you have the opportunity of getting on a ship that will tour around the Guaiba lake that is a must do too.
</p>"
5,"<p property=""reviewBody"" id=""review_282604276"">
Well, there's really not much to this, ultimately, but it was a really fun place to go to see the sunset and just be part of a crowd. We ate crepes on sticks AND churros, (I had clearly lost my mind,) we listened to a great band, we enjoyed just wandering through all the food stalls, we watched the sunset and took great photos, we climbed the stairs and had a look out over the city. Really pleasant.
</p>"
5,"<p property=""reviewBody"" id=""review_297560196"">
It's good to know the history of places you visit. And this is one opportunity.<br>An old coal plant, restored and open to public.
</p>"
5,"<p property=""reviewBody"" id=""review_294201461"">
Perfect place to enjoy after 16 pm on the weekends. Around 18h there is a wonderful sunset..Try enjoy the place with public, try not to be alone, after 19h.
</p>"
4,"<p property=""reviewBody"" id=""review_303188976"">
The sunset there is amazing! Wait for it outside Usina do Gasômetro. It´s totally worth your time. The building itself is really nice, considering it was an old gas factory transformed in a cultural center for now. The chimney is one of the most iconic symbols of the city.
</p>"
4,"<p property=""reviewBody"" id=""review_204300491"">
We took our friends to the Oi tower and we all had a great time. Amazing views on a clear day! When we got there we were the only visitors, had the whole place to ourselves. We were very pleasantly surprised with the whole experience and it was so inexpensive!!! Definitely worth a visit.
</p>"
4,"<p property=""reviewBody"" id=""review_222205250"">
You can see the whole city from the tower. All the park and main attractions are in sight. A nice place to end an enjoyable day in Curitiba
</p>"
5,"<p property=""reviewBody"" id=""review_206265920"">
We recently visited the Oi Panoramic Tower located in the Merces area of Curitiba. We were fortunate to go on a clear, sunny day. You can reach the attraction by walking from other places in the city ( a 45-minute walk from Centro) or by the green tour bus that visits all the main tourist points in Curitiba. The entrance fee to visit the tower is R$3.50 each. <br> It takes about a minute or so to reach the top of the tower in an elevator that holds six people. When you enter the top, you will get to see all the main points of this large southern Brazilian city. The views are excellent in all directions. You can also see the beautiful Serra do Mar mountains in the distant background. My only recommendation is that you bring a good camera with you for high-quality pictures. A small digital camera is good but a professional camera will produce some really nice pictures for you. This is the best place in the city to get a great view of the many buildings (Clock building, Bristol hotel, Palacio Iguacu, Italia building) that are found in Curitiba. You also get a picture-perfect view of Barigui Park, Curitiba's most beautiful and spacious park.
</p>"
5,"<p property=""reviewBody"" id=""review_230942292"">
The views here are amazing. On a clear day you can see for miles around Curitiba. The towere itself is easy to get to and parking is all around. The fee is very cheap and there is one lift to the top which is staffed and very quick. Once you are at the top there are several maps showing where all the attractions are. We got some really nice photos here and it gives you a good idea of where things are in Curitiba, Lots of green spaces and all the tourist attractions.
</p>"
4,"<p property=""reviewBody"" id=""review_207489152"">
From the top of the tower a 180 degree panoramic view of the entire city and the further outskirts and Serra do Mar mountain range. Conveniently located at Merces area, it can reached either by walking from downtown - some 40 minutes walking - or by the sightseeing double-deck bus, given the tower is one of the attractions. The best is to visit with a clear-sky day. Fall days are by far the best as the cobalt blue skybathe the landscape and view with an amazing light.
</p>"
5,"<p property=""reviewBody"" id=""review_218260580"">
This tower was enjoyable to visit. The panoramic views of Curitiba were stunning. A little hard to take great pictures because of the tinting on the windows. Worth the price of admission if you like heights and views.
</p>"
3,"<p property=""reviewBody"" id=""review_221847580"">
I'm a fan of looking at cities from great heights. This tower offers this possibility. Although at cloudy weather you will not have a really impressive view. Would have been nice if there was a bar or something on the panoramic platform.<br>Not worth staying longer than 20-30 minutes. But then again, the entrance fee was very low.
</p>"
4,"<p property=""reviewBody"" id=""review_238978677"">
You can see almost all of the city around you from the tower. I believe it's worthwhile, since the entrance fee is cheap and it doesn't take much time, plus it's one of the stops for the touristic bus.
</p>"
4,"<p property=""reviewBody"" id=""review_123979960"">
A surprisingly good cultural space in the old Gasometro (gas works) building<br>A rare and well succeeded new use for an old industrial installation, giving birth to a multifunction cultural center, with beautiful architectural solutions to the old building.<br>The location alone would be worth a visit, for the awesome scenery, by the riverside, with fiery sunsets over the horizon and the islands.<br>Besides, it is the departure point of the river tours, another very interesting attraction of Porto Alegre.
</p>"
4,"<p property=""reviewBody"" id=""review_114071899"">
Former Porto Alegre's gas power plant, was deactivated a long time ago and turned into a Cultural Center. They have a theater showing alternative movies and eventual exhibitions. The building is by Guaiba River, which makes it more interesting.
</p>"
3,"<p property=""reviewBody"" id=""review_122406723"">
but it stops on that, there you can see the guaiba and have a good view
</p>"
3,"<p property=""reviewBody"" id=""review_129873775"">
Here you can spend 10 minutes of your trip. There are no other services than elevator.
</p>"
4,"<p property=""reviewBody"" id=""review_139407050"">
If you take the tourist bus be sure to stop and see all of Curitiba from this high vantage point. When I went there were raptors nesting on the ledge outside of the windows.
</p>"
5,"<p property=""reviewBody"" id=""review_145462519"">
The view is awesome, the best I ever saw. We can see all the city center and it`s amazing. I enjoyed it a lot, I was a child about twelve years old when I went there but I remember the fellings .
</p>"
4,"<p property=""reviewBody"" id=""review_153134927"">
From here you can see the whole city!<br>The boring part is the line to go up.... sometimes it takes a lot waiting!!
</p>"
3,"<p property=""reviewBody"" id=""review_157177061"">
You can start your visit to the city here so you can have a quick look of how the city looks and everything that you can visit...
</p>"
4,"<p property=""reviewBody"" id=""review_148569937"">
Very good view to the city, but the dark glass that surrounds the belvedere produces significant light reflex, making a somewhat ""mirror effect"" which damages photos and even the eye observation
</p>"
3,"<p property=""reviewBody"" id=""review_165608667"">
This is a cellular tower from Oi, Brazil telecommunication company. The selling point here is to view the city at 360 degree at the top. The admission is just few dollars. The ground floor of this tower has a small telecommunication museum illustrating the history of the phone system. The drawbacks is both museum and tower at the top have no English translations for the signage.
</p>"
3,"<p property=""reviewBody"" id=""review_127384085"">
A beautiful flagship and postcard of this pleasant city, but nothing else.
</p>"
3,"<p property=""reviewBody"" id=""review_173406627"">
The panoramic tower is pretty average.....but it does give you a good view of the city and it's not expensive ($R3.50).<br><br>It's worth a stop if you are getting the tour bus but maybe not otherwise as its a little far from the center of town.<br><br>If you are into photos be warned there is glass all around and I didn't find the glass too clean.
</p>"
3,"<p property=""reviewBody"" id=""review_145656086"">
Nice place, not to high. Unexpensive. Nice view. Nearby Barigui Park and Churrascaria Botafogo. Tourism Line bus stop.
</p>"
3,"<p property=""reviewBody"" id=""review_127489809"">
Nice view but the infrastructure needs improvement
</p>"
3,"<p property=""reviewBody"" id=""review_127706257"">
Huge cavernous spaces on three levels and what seemed to be on-going renovations. Not one of the staff seemed to know that only one floor had displays of any sort. We saw very funny editorial cartoons, caricatures by student artists and some impressionist paintings.<br>It was not worth the dusty walk from Centro.
</p>"
4,"<p property=""reviewBody"" id=""review_148094085"">
The old bilding is a landmark of a time that will not come back. The old structure is well preserved and used as a show place. From there you can see the Guaiba River or lake. Very nice spot to walk around. Usually very crowded on weekends
</p>"
3,"<p property=""reviewBody"" id=""review_131745788"">
Having been raised in Porto Alegre, I've visited the Gasometro many times through the years and it feels like it's a never ending work in progress space. <br>Of all times I've been there, only once I saw it blooming, for a student/career fair. All other times it looked like a lot of empty space for nothing.
</p>"
5,"<p property=""reviewBody"" id=""review_154647633"">
The most important thing you should know about Usina Do Gasômetro is that it´s not only a cultural center, you gotta take advantage of the entire complex. People who live in Porto Alegre usually reffer (or refer?) to ""Gasômetro"" as the whole Rio Guaiba´s shore. <br><br>First of all, prefer to visit it in the morning, specially in the weekends, when the place gets ""too popular"", and you may find some trouble with pickpockets, in the morning is preocupation free. The place is awesome, and the chosen one Porto Alegrense elected for jogging and running due to the amazing view and ""beach sensation"" it has.<br><br>Unfortunately the facilities are restricted, its hard to find WCs and places to eat and drink, only a few dirty tents selling drinks and dangerous food.<br><br>The mayor is now taking a major refurb in the place for the soccer World Cup (since the place is very near to Beira Rio Stadium), and promises to be one of the most beautiful places in the country.<br><br>My suggestion, go to Usina do Gasometro near to 10:00 am for a bike riding (theres Samba bikes for renting) you just need to get the app for your mobile phone to release them. Take a ride in south direction to see the beautiful Marinha do Brasil Park (Brasil´s Navy Park), and after Beira Rio Stadium, the place wich is hosting next Soccer World Cup, just in front of the stadium, in the very same side of the street you are going to be biking, theres one of the most delicious places to eat the traditional barbecue, the price is high, about R$ 50,00 per person, but it worth. After the heavy food take a rest at Parque Gigante (the place where the restaurant is located) and return the same way biking.<br><br>Additionaly theres some four place bike to carry your child in the weekends, it´s kind of fun for the litlle ones.
</p>"
4,"<p property=""reviewBody"" id=""review_177540610"">
The Oi Panoramic Tower has views all over Curitiba. I walked to the lift, inside of which an attendant was sitting. She transported me up to the viewing platform where I was able to walk right round, looking over most of Curitiba, The vultures also were admiring the view, sitting on a ledge outside the glass windows, waiting for their next meal to show up.
</p>"
4,"<p property=""reviewBody"" id=""review_212321928"">
It's a 'hours councours' area for cultural activities in Porto Alegre city. Yet, the years goes by and the maintenance seems to be at a minimal value. Every now and then when I go visit the area, specially when it's not hosting any major activity, it seems to have much more patching, leaks and poor infrastructural maintenance. It's still nevertheless one of the must see points when visiting Porto Alegre.
</p>"
5,"<p property=""reviewBody"" id=""review_340406902"">
Worthwhile visiting the little museum in the ground floor. Time well spent with the young ones as the place was not busy. We went on a Saturday morning
</p>"
3,"<p property=""reviewBody"" id=""review_125754681"">
This is a great way to see the size of Curitiba and the surrounding greenery.
</p>"
3,"<p property=""reviewBody"" id=""review_124866753"">
This is Ok to see some views of Curitiba but nothing special - old tired place.
</p>"
4,"<p property=""reviewBody"" id=""review_127478701"">
You get a good view of the city from this tower. It costs R$4 or R$5
</p>"
4,"<p property=""reviewBody"" id=""review_97295894"">
It is a meeting point for everybody in Porto Alegre! You can enjoy a tour on the Guaiba river. There is a beautiful view of the city. Many attractions as workshops and galleries . A place to stay and see the beautiful Sunset in Porto Alegre! Its a special place, you cant miss it.
</p>"
3,"<p property=""reviewBody"" id=""review_342786369"">
In Brazil I went to a few places where you can see the city from a panoramic view, this included Sao Paulo and Rio de Janeiro, however with this one, I found myself not very interested once I got to the top. You have to pay (I can't remember how much) and the que took about 1 hour to get through, so my boredom may have been part of the long wait. Also, because there are glass windows at the top, you cant appreciate the view fully or take photos because there are hand smudges on all of the windows. Worth a try though if its not busy!
</p>"
2,"<p property=""reviewBody"" id=""review_442163932"">
Just drive by on the way to airport and look at it. Not really a place to visit . Its located in the middle of a busy intersection.
</p>"
4,"<p property=""reviewBody"" id=""review_348507318"">
This is a tower owned by the company Oi, from the top you have a great view from city of Curitiba and surrounding neighborhoods.
</p>"
5,"<p property=""reviewBody"" id=""review_345957330"">
Check out the communication systems through the last century in the lobby, then travel to the top for birds eye view of all of Curitiba.<br><br>Excellent graphics point out the key locations. A Historical mural surrounds the center wall. <br><br>Ample Benches provide a place to sit. All in all worth checking out!
</p>"
2,"<p property=""reviewBody"" id=""review_460730870"">
Jast a statue close to the airport. Not very big and not impressive. I wouldn't recommend to stop there.
</p>"
4,"<p property=""reviewBody"" id=""review_466780240"">
It is a must-go for anyone visiting Porto Alegre just because it is a symbol of the city, but don't spend too much time here. It is just a statue after all, but quite pretty for one :) An icon of Gaúcho culture!
</p>"
4,"<p property=""reviewBody"" id=""review_148094195"">
Rua da Praia is a traditional commerce area of Porto Alegre. You can find lots of stores on this street. It is a place to walk down town and sight see Porto Alegre
</p>"
5,"<p property=""reviewBody"" id=""review_184503093"">
We stopped in this winery on a whim, and ended up spending quite a bit of time, and surprisingly little money, considering what we came out with. We are ordinarily unimpressed with Brazilian wines, and were very pleasantly surprised to stumble upon this gem of a place where people offered us samples of very pleasantly drinkable local wine on all sides. They also carry quite a variety of quality food gift items and boxed assortments, at what seem to be right around or just below local grocery store prices. Highly recommended!
</p>"
4,"<p property=""reviewBody"" id=""review_267946476"">
Worth a visit, they have a nice selection of wines- which you can try!! As well as many different gourmet foods. The building is very nice and lit up beautifully at night.
</p>"
1,"<p property=""reviewBody"" id=""review_351955860"">
The place is ok, but one of the staff was very rude with me and my wife...<br>I'll never comeback to this store and can only hope for them to improve the politeness of their staff...
</p>"
4,"<p property=""reviewBody"" id=""review_283983003"">
From chocolate, to warm citrus wine, olive oils, pine nuts - you name the treat, they have it. And they want you to try it as well. I wish I could have brought things home...
</p>"
1,"<p property=""reviewBody"" id=""review_396280458"">
We went there to buy wine bottles and cheese, the variety was poor, but the reason I don't recommend this place is the bad service we received, the attender was very rude with us and didn't even try to hide his lack of manners... I expected more from such a place...<br>
</p>"
5,"<p property=""reviewBody"" id=""review_434878200"">
The place was almost closing when we entered. But on the way out, I said ""Buona Notte"" and enquiring eyes asked ""Italiano?"" Not me, but one of our companions was. After quickly establishing regional connections and dialects we were ushered back in for a round of grappa on the house while the Italians reminisced about days in the home country!
</p>"
2,"<p property=""reviewBody"" id=""review_432764385"">
I went there on a Wednesday afternoon, right after lunch, and I was quite disappointed. Granted, it was not high season or a particularly busy time of day, but that would be a good reason to provide excellent service, I think. The salespeople were distracted, chatting among themselves and didn't seem to notice me and my two friends walking around. We were not offered any tries - people told me they are famous for them. One of my friends asked if he could try some of the wine, and only then they provided it. It just felt like some sad market around the corner. Very disappointing. I give it two stars because the chocolates actually tasted good after I bought them.
</p>"
4,"<p property=""reviewBody"" id=""review_127455579"">
Very nice site to watch concerts and shows. It is a shame it is so under utilized
</p>"
5,"<p property=""reviewBody"" id=""review_126771211"">
Located on Santos Andrade Sq. right in front o UFPR University... 3 attractions not to be missed in Curitiba
</p>"
5,"<p property=""reviewBody"" id=""review_173638151"">
On the Facade of Guaira Theater, facing the Federal University of Paraná bulding, there´s one of the greatest works by Poty Lazzarotto: Pictographic representation of the history of the theater, from the Greeks to contemporary authors, including mime. It is considered one of his greatest works of expression.; and crossing the street, in Praça Santos Andrade, the bust of Lala Schneider symbolizes and perpetuates all the work and importance of the actress in the cultural context of the State of Paraná.
</p>"
5,"<p property=""reviewBody"" id=""review_191708304"">
This is the most famous e most traditional theater in Curitiba, and is also home for the orchestra and ballet companies. It also hosts main plays during the Theater Festival, which happens once a year on the city. During the year, there are symphonies and ballet presentations, concerts, theatrical plays, etc., and some of them are free.
</p>"
2,"<p property=""reviewBody"" id=""review_148733744"">
In the audience, in smells like mold...<br>Toilets are really old!<br>The open bar is very very poor.<br>Not expensive at all, but you get exactly what you pay for.
</p>"
4,"<p property=""reviewBody"" id=""review_158412700"">
The orchestra is a good program, the ballet company (both the professional and the wonderful school group) is rather good. Tickets for the theatre own productions are inexpensive. It is a pity that the pragrammation is not more intensive.
</p>"
4,"<p property=""reviewBody"" id=""review_207511412"">
One of the better theaters in Brazil, in the opinion of actors and directors. By now, it will close to a great maintenance. A little expensive, better go on taxi - there is no free parking.
</p>"
3,"<p property=""reviewBody"" id=""review_210358531"">
Hosts good shows, but don't travel to see the theatre - it's modern and there's nothing special about the building itself.<br>It's in front of a nice square which has a nice view of Federal University though (avoid walking around it at night time - dodgy area)
</p>"
4,"<p property=""reviewBody"" id=""review_331922838"">
It's one of the main veins of POA. If you work in downtown POA you certainly walk this street to go out for lunch, go to the bank, go shopping... It's a promenade, no cars allowed.
</p>"
5,"<p property=""reviewBody"" id=""review_240539722"">
Beautiful architecture. central location. There a Bus in front of theater which leads to   airport. Is a excellent ride. I recommend to everyone traveling the city of Curitiba.
</p>"
3,"<p property=""reviewBody"" id=""review_214829846"">
odd architecture, central location, various rooms. 15 to 20 minutes maximum course. central location
</p>"
4,"<p property=""reviewBody"" id=""review_329599943"">
This place has a good structure for shows<br>No seats.<br>Accustic is perfect, clean and well organized house.<br>People also helpful and kind<br>I enjoyed several spectacules there and recomend any they perform in the house
</p>"
5,"<p property=""reviewBody"" id=""review_429673911"">
It is a excellent little theatre, privately owned which has performances of all kinds, courses etc. It is pocket-size, well maintained and there is a bar/restaurant just next to it. Some of the shows/presentations are of very good standards. The atmosphere is friendly and the prices very convenient. If you have time to spend in Porto Alegre and you do like music, be it classical or popular, that is the place to visit.
</p>"
5,"<p property=""reviewBody"" id=""review_210776874"">
If you want to go to the movies, watch a play at the theater, or simply enjoy a beautiful view of the sunset from the rooftop bar at the end of the afternoon, this is a great choice.
</p>"
4,"<p property=""reviewBody"" id=""review_352218455"">
I`ve been just in 4 megapolises of Brazil: Sao Paolo, Rio-de-Janeiro, Salvador and Porto Alegre. Porto Alegre is out of competition. Possible there`s the compatible system in Curitiba by efforts of their famous mayor Jaime Lerner. Train-system in Porto-Alegre is logic and effective. You feel it at once from airport, where the futuristic train gets you from airport terminal to metro-station.
</p>"
3,"<p property=""reviewBody"" id=""review_387504215"">
This museum, located just a couple of minutes by foot from the Teatro São Pedro, could be described as ""anachronic"" - it features a variegated collection of objects and pieces of art that span a quite large period of the state's modern history. Some items are indeed burlesque, as the ""Giant's Boot"", an enormous shoe legend says was used by someone with a really bad case of giantism. I would not recommend to go to the area exclusively for this, but once one is already at the theatre at the other side of the park, why not?
</p>"
4,"<p property=""reviewBody"" id=""review_132486664"">
Apparently they rely on volunteers to operate and because of that, sometimes it does not open at expected times (for instance, it was closed on Saturday between 11:30 and 13:30 when I visited). The museum is not big, but it is enough to get you busy for at least one hour. Enjoy Jardim Botânico too!
</p>"
3,"<p property=""reviewBody"" id=""review_435566520"">
The museum is inside the botanical garden and the entrance fee is covered by the fee of the park. My husband and I visited it. It consists of 3 rooms (one large one and two medium ones), with 3 different exhibitions. All the text is in Portuguese which neither of us speaks but it was still nice to see what they had.
</p>"
5,"<p property=""reviewBody"" id=""review_299024068"">
Amazing place for everyone: from child to adult. Even if you don't speak Portuguese.A lot of science things which you can touch and push and look like our wold working!
</p>"
4,"<p property=""reviewBody"" id=""review_422873495"">
Viva has a lot of things: food, fun, stores. It's a nice place for families to go in northern Porto Alegre.
</p>"
3,"<p property=""reviewBody"" id=""review_130726587"">
Nice building but very bad guiding! A visit to the underground exhibit area worth a visit!
</p>"
5,"<p property=""reviewBody"" id=""review_326927471"">
It is a catholic santuary in honor to Our Lady from Schoenstatt, placed in a very calm location. Ir is similar to others around 200 in the world.
</p>"
4,"<p property=""reviewBody"" id=""review_313957625"">
The city hall is as you would expect in the heart of Porto. The building is really quiet beautiful with its unique architecture.
</p>"
